suite,benchmark_name,answer_generator,result,answer,validation_error,temp_test_file,latency
configure_adk_features_mc,"When defining a custom agent class, which abstract...",GeminiAnswerGenerator(gemini-2.5-flash),0,benchmark_type=<BenchmarkType.MULTIPLE_CHOICE: 'multiple_choice'> answer='A',"Expected 'E', but got 'A'.
Question: When defining a custom agent class, which abstract base class must you inherit from?",,1.0358271598815918
configure_adk_features_mc,You want to create a custom artifact service. Whic...,GeminiAnswerGenerator(gemini-2.5-flash),1,benchmark_type=<BenchmarkType.MULTIPLE_CHOICE: 'multiple_choice'> answer='B',,,1.1311988830566406
configure_adk_features_mc,Which class allows you to define a tool from an Op...,GeminiAnswerGenerator(gemini-2.5-flash),1,benchmark_type=<BenchmarkType.MULTIPLE_CHOICE: 'multiple_choice'> answer='D',,,1.318248987197876
configure_adk_features_mc,"When calling `runner.run_async()`, which parameter...",GeminiAnswerGenerator(gemini-2.5-flash),0,benchmark_type=<BenchmarkType.MULTIPLE_CHOICE: 'multiple_choice'> answer='B',"Expected 'C', but got 'B'.
Question: When calling `runner.run_async()`, which parameter is used to pass the user's input message?",,1.419132947921753
configure_adk_features_mc,What does `RunConfig.save_live_blob` control?...,GeminiAnswerGenerator(gemini-2.5-flash),1,benchmark_type=<BenchmarkType.MULTIPLE_CHOICE: 'multiple_choice'> answer='B',,,1.55898118019104
configure_adk_features_mc,What does `ContextCacheConfig.ttl` control?...,GeminiAnswerGenerator(gemini-2.5-flash),1,benchmark_type=<BenchmarkType.MULTIPLE_CHOICE: 'multiple_choice'> answer='B',,,1.562471866607666
predict_runtime_behavior_mc,Predict the error:...,GeminiAnswerGenerator(gemini-2.5-flash-with-context),0,benchmark_type=<BenchmarkType.MULTIPLE_CHOICE: 'multiple_choice'> answer='E',"Expected 'A', but got 'E'.
Question: Predict the error:",,1.5818870067596436
predict_runtime_behavior_mc,Predict the standard output of the following Pytho...,GeminiAnswerGenerator(gemini-2.5-flash),0,benchmark_type=<BenchmarkType.MULTIPLE_CHOICE: 'multiple_choice'> answer='E',"Expected 'B', but got 'E'.
Question: Predict the standard output of the following Python code:",,1.638822078704834
configure_adk_features_mc,What does `RunConfig.support_cfc` control?...,GeminiAnswerGenerator(gemini-2.5-flash),1,benchmark_type=<BenchmarkType.MULTIPLE_CHOICE: 'multiple_choice'> answer='D',,,1.6820600032806396
configure_adk_features_mc,Which `LlmAgent` parameter (type `BaseModel`) is u...,GeminiAnswerGenerator(gemini-2.5-flash),1,benchmark_type=<BenchmarkType.MULTIPLE_CHOICE: 'multiple_choice'> answer='D',,,1.7063541412353516
configure_adk_features_mc,Which `RunConfig` parameter allows you to limit th...,GeminiAnswerGenerator(gemini-2.5-flash),0,benchmark_type=<BenchmarkType.MULTIPLE_CHOICE: 'multiple_choice'> answer='C',"Expected 'E', but got 'C'.
Question: Which `RunConfig` parameter allows you to limit the total number of LLM calls in a single run to prevent runaway costs?",,1.7532432079315186
configure_adk_features_mc,What does `RunConfig.proactivity` control?...,GeminiAnswerGenerator(gemini-2.5-flash),1,benchmark_type=<BenchmarkType.MULTIPLE_CHOICE: 'multiple_choice'> answer='D',,,1.7505748271942139
configure_adk_features_mc,You need to retry a tool execution automatically i...,GeminiAnswerGenerator(gemini-2.5-flash),0,benchmark_type=<BenchmarkType.MULTIPLE_CHOICE: 'multiple_choice'> answer='B',"Expected 'E', but got 'B'.
Question: You need to retry a tool execution automatically if the tool raises a specific exception or returns an error. Which plugin can help?",,1.7574329376220703
configure_adk_features_mc,Which `LlmAgent` parameter (type `BasePlanner`) is...,GeminiAnswerGenerator(gemini-2.5-flash),1,benchmark_type=<BenchmarkType.MULTIPLE_CHOICE: 'multiple_choice'> answer='A',,,1.8055570125579834
